Epoch,Train_Loss,Validation_Loss
1,0.8779808612718975,0.8529778605415708
2,0.737688118790927,0.7959884802500407
3,0.6751597500827214,0.8371311596461705
4,0.573499282827116,0.7916357616583506
5,0.4565367969748092,0.7894393943604969
