Disease,Accuracy,Precision,Recall,F1,ROC_AUC
Atelectasis,0.6644295302013423,0.6623376623376623,0.68,0.6710526315789473,0.7014414414414414
Effusion,0.6442953020134228,0.7368421052631579,0.6292134831460674,0.6787878787878788,0.6868913857677903
Pneumonia,0.8590604026845637,0.1111111111111111,0.2857142857142857,0.16,0.5764587525150906
